tracklet,label,score,best_frame
trj_id1_ti6_1079_tf6_1278,OG,159.78543090820312,180
trj_id1_ti6_1326_tf6_1344,OG,17.86734390258789,16
trj_id1_ti6_1358_tf6_1567,OB,205.00888061523438,13
trj_id1_ti6_1575_tf6_1721,OG,132.0647430419922,147
trj_id1_ti6_1730_tf6_1936,OG,155.51419067382812,161
trj_id1_ti6_2018_tf6_2459,OG,329.11224365234375,225
trj_id1_ti6_2511_tf6_2512,Unknown,0,0
trj_id1_ti6_2514_tf6_2514,Unknown,0,0
trj_id1_ti6_2516_tf6_2786,OB,264.8143310546875,50
trj_id1_ti6_2825_tf6_3000,OB,172.13565063476562,16
trj_id1_ti6_497_tf6_514,BP,17.969924926757812,18
trj_id1_ti6_544_tf6_827,BP,267.53680419921875,65
trj_id1_ti6_838_tf6_1036,OG,165.633544921875,122
trj_id2_ti6_1058_tf6_1094,PP,33.09898376464844,30
trj_id2_ti6_1851_tf6_1856,GG,5.978838920593262,2
trj_id2_ti6_1985_tf6_2231,OB,237.775146484375,111
trj_id2_ti6_1_tf6_13,GG,8.313739776611328,11
trj_id2_ti6_241_tf6_265,OG,18.243080139160156,11
trj_id2_ti6_2472_tf6_2669,GB,137.2888946533203,47
trj_id2_ti6_2675_tf6_2844,GB,91.07394409179688,70
trj_id2_ti6_269_tf6_698,OB,420.4921875,41
trj_id2_ti6_58_tf6_234,OG,158.51791381835938,100
trj_id2_ti6_808_tf6_827,OG,10.004833221435547,17
trj_id2_ti6_838_tf6_1009,BP,164.30331420898438,170
trj_id3_ti6_1098_tf6_1098,PP,0.9999349117279053,1
trj_id3_ti6_1100_tf6_1102,PP,2.9995148181915283,1
trj_id3_ti6_1249_tf6_1846,GB,493.8962097167969,477
trj_id3_ti6_1863_tf6_1997,GB,79.56847381591797,108
trj_id3_ti6_2024_tf6_2108,GB,53.86859130859375,66
trj_id3_ti6_2785_tf6_3000,OG,170.76815795898438,63
trj_id3_ti6_408_tf6_480,GB,40.84373474121094,29
trj_id3_ti6_550_tf6_550,OG,0.9902471303939819,1
trj_id3_ti6_554_tf6_776,OG,180.11573791503906,140
trj_id4_ti6_110_tf6_265,OB,154.72128295898438,29
trj_id4_ti6_1305_tf6_1344,OB,39.97914123535156,6
trj_id4_ti6_1358_tf6_1567,OG,194.49456787109375,32
trj_id4_ti6_1575_tf6_1732,OB,155.4888458251953,37
trj_id4_ti6_1_tf6_102,OB,97.68202209472656,77
trj_id4_ti6_2119_tf6_2423,GB,243.08273315429688,32
trj_id4_ti6_2522_tf6_2549,OG,26.17181968688965,1
trj_id4_ti6_2581_tf6_2669,OG,61.96391296386719,65
trj_id4_ti6_2675_tf6_2779,OG,73.42181396484375,52
trj_id4_ti6_269_tf6_480,OG,182.6102294921875,63
trj_id4_ti6_484_tf6_541,OG,43.07073211669922,53
trj_id4_ti6_544_tf6_545,Unknown,0,0
trj_id4_ti6_604_tf6_607,Unknown,0,0
trj_id4_ti6_649_tf6_1248,GB,526.2091064453125,137
trj_id5_ti6_1610_tf6_1715,BP,102.99372863769531,22
trj_id5_ti6_1791_tf6_1997,BP,200.88543701171875,80
trj_id5_ti6_1_tf6_15,OG,11.330180168151855,8
trj_id5_ti6_205_tf6_242,GG,20.71302032470703,11
trj_id5_ti6_2257_tf6_2505,OB,240.64352416992188,28
trj_id5_ti6_2905_tf6_3000,GB,77.8135986328125,63
trj_id5_ti6_69_tf6_191,GG,79.42723846435547,119
trj_id5_ti6_705_tf6_1304,OB,580.0167236328125,25
trj_id6_ti6_110_tf6_191,GB,79.88406372070312,30
trj_id6_ti6_1812_tf6_1820,GP,8.994071960449219,6
trj_id6_ti6_1824_tf6_1831,GP,7.981426239013672,3
trj_id6_ti6_1_tf6_102,GB,80.34716033935547,66
trj_id6_ti6_2024_tf6_2337,BP,290.1560974121094,23
trj_id6_ti6_205_tf6_321,GB,67.64111328125,117
trj_id6_ti6_2348_tf6_2348,Unknown,0,0
trj_id6_ti6_2354_tf6_2355,Unknown,0,0
trj_id6_ti6_2357_tf6_2377,Unknown,0,0
trj_id6_ti6_2385_tf6_2408,Unknown,0,0
trj_id6_ti6_2420_tf6_2428,Unknown,0,0
trj_id7_ti6_1831_tf6_1957,OB,124.522705078125,56
trj_id7_ti6_997_tf6_1054,PP,57.91592788696289,8
